,name,ADRS
0,erdse,313.4292427246146
1,momprdse,104.00751988976607
2,acdse,341.47570642060526
3,csdse,331.82491289952503
4,ppo,219.25458885692137
5,dtl,214.98361693306424
6,nsga2,188.9844281107747
7,bo,316.9250141138277
8,crldse,201.95031161829152
