,name,ADRS
0,crldse,141.89107754360188
1,erdse,313.5260065920152
2,momprdse,102.56276754027773
3,acdse,290.4827829881842
4,nsga2,187.96001712921034
5,cc-aco,280.58876668166636
6,ppo,226.2024161761218
7,dtl,227.85726873761655
