,reward
0,0.8041556886620443
1,0.03304027142385128
2,3.36507803967753
3,5.881284606151252
4,3.304856177451568
5,5.517938678381147e-06
6,2.2751487101080543
7,5.881284606151252
8,0.0001485764823334754
9,0.7694127161790846
10,0.07458344226156248
11,1.264845081658846
12,2.57939364111478
13,5.96920611735373
14,0.07486603516541439
15,5.390450891195452
16,0.2519556798810274
17,0.0008117899398495946
18,1.7686771338218406
19,1.5323199690259974
20,0.44479828698223534
21,5.562681081246853
22,0.4220921028986849
23,0.1085500341602458
24,0.000550178803496702
25,3.963835187266679e-05
26,6.159043639965771
27,7.523101340187369
28,5.979435128917619
29,1.5977972554787605
30,1.5977972554787605
31,3.9803087773564045
32,6.678714663379705
33,1.9623558992657815
34,0.2210846431767306
35,0.3395022915627481
36,0.44216928593946103
37,6.590217867547662e-08
38,1.330864089056693
39,0.07298943185879275
40,0.3151794459242966
41,0.13027913713931333
42,0.003426249439112396
43,0.06149532629781893
44,0.05731299721339336
45,0.010012768351632055
46,0.2210846431767306
47,5.215282007319466
48,2.0433723636484205
49,7.90072847609696e-07
50,0.44216928593946103
51,2.256482474913919
52,2.873023252909746
53,3.6129155969374764
54,4.5460702561820465
55,0.014921072939495614
56,0.11067234932585948
57,0.33181674845565984
58,0.1213898921587932
59,3.0750211975396926
60,1.2817779481805107
61,1.2196074662877803
62,3.193580279948078
63,0.2171351976828524
64,7.491356077504071
65,1.9446797965936338
66,0.16629713736416638
67,1.2196852779996457
68,0.17753697530480955
69,3.616490315489269
70,7.523773154822722
71,1.8176684634032039
72,7.523128296020206
73,7.523800668700189
74,6.371601485209325
75,2.1154736571382244
76,5.5319695086115015
77,0.9082415210424647
78,3.5385338290665236
79,7.571816645385312
80,4.194061287256261
81,6.600955082775746
82,5.885113630313642
83,7.132211076211945
84,7.635258717871731
85,0.14618775836303485
86,3.7801053093634067
87,7.80755681475774
88,0.12249766212560165
89,3.616594676704929
90,0.14039637421741963
91,0.8636395345154997
92,8.034083477903838
93,0.9165961535939113
94,3.611961135948346
95,6.57968049654231
96,0.03987198551052345
97,0.8656203030027197
98,0.3367659209572023
99,0.019051220766684838
100,4.572808134608859e-05
101,4.939289711201928
102,0.8659751019662946
103,3.2171762198949465
104,3.30422252067304
105,8.294139143550026
106,0.26062636375024495
107,1.2163541856510134
108,0.7180796951720066
109,0.0262305114323619
110,3.721021557723997
111,8.81866194407559
112,1.4267775494132475
113,5.25563180198003
114,0.7451506948867465
115,7.1282001453469555
116,7.94299103058528
117,0.7187620953682734
118,1.8789183733983095
119,0.11218304025531453
120,6.293389386584012
121,2.1154736571382244
122,2.9081326388957085
123,7.66016056727517
124,0.4392173351865367
125,1.862328849676771
126,1.8153556006675349
127,6.292398605500792
128,10.869272750180894
129,8.22216337812734
130,9.128256872034793
131,1.867186031147619
132,10.80110260312277
133,3.6209248837482857
134,9.439115647613331
135,4.634471479855962
136,3.5353848808224364
137,6.462587851050904
138,0.3928480287055086
139,4.190794448184211
140,2.240353314964929
141,3.5912307590742305
142,1.337608542057237
143,7.6543283978327885
144,3.6129155969374764
145,3.3016020348187944
146,7.184261506939118
147,0.00022838774831461173
148,2.6015849377202844
149,2.9523317881178395
150,4.048569927408352
151,10.68111125746057
152,7.944705079957651
153,7.02578916159215
154,6.723250672469503
155,9.133771425443582
156,8.86148413722573
157,1.6539651755122045
158,2.1154736571382244
159,10.610177663484793
160,1.106594378658908
161,5.77389210333444
162,6.180437828554297
163,3.230266381163634
164,3.6711435347487993
165,0.019446131909237756
166,9.609297604255449
167,12.402054194182412
168,1.7097883245180128
169,7.555387805236566
170,8.583528691187615
171,5.7807403677529e-05
172,13.87627937769011
173,10.725709958687544
