15,16,256,128,4,8,16,3.5
2,2048,2048,64,8,8,4,3.9
8,8,64,4096,8,2,2,3.5
2,512,128,64,16,2,8,2.4
12,4,4096,32768,8,2,16,3.1
7,128,1024,256,1,1,4,2.2
1,8,128,64,16,16,2,2.2
11,16,32,8192,16,16,1,3.3
10,64,256,1024,1,2,4,2.4
3,4096,16,1024,4,8,16,3.4
12,4096,2048,1024,4,8,8,2.8
1,512,4,2048,1,8,16,2.2
14,32,16,64,2,2,4,3.1
13,8,1024,256,8,1,1,2.9
7,32,8,65536,16,8,4,3.9
10,2048,256,65536,8,16,2,3.9
1,512,256,2048,1,1,4,2.8
12,4,4,128,1,2,4,2.0
16,2048,128,16384,8,1,4,3.4
3,8,16,64,4,4,1,2.8
6,16,32,256,16,4,2,2.6
6,32,32,4096,1,8,16,2.1
16,4,16,128,8,1,4,2.9
5,512,256,32768,1,16,4,2.9
10,8,32,8192,2,8,16,3.0
15,1024,128,1024,4,8,2,3.4
1,1024,2048,2048,1,1,4,3.1
1,2048,2048,64,4,4,8,3.4
8,64,2048,64,8,8,4,3.5
4,512,2048,32768,2,8,8,3.3
2,32,2048,256,1,4,4,2.1
2,4,1024,1024,8,8,2,2.6
16,4096,2048,65536,8,8,4,2.5
9,1024,64,8192,16,8,2,3.0
13,4096,128,16384,1,8,4,3.4
9,8,32,32768,16,8,1,3.0
4,16,256,32768,8,2,16,2.8
3,8,2048,4096,2,2,4,3.9
2,256,4096,64,16,8,8,3.7
7,2048,8,128,1,8,4,3.2
8,1024,4,128,16,8,4,3.9
14,2048,16,64,1,8,4,3.9
12,32,2048,2048,8,2,4,2.9
12,2048,2048,512,8,8,4,3.7
10,32,2048,64,8,4,4,2.6
13,256,2048,64,2,8,4,2.4
3,2048,4096,64,8,8,4,2.9
3,512,64,4096,8,8,4,3.9
3,4,4,4096,16,8,4,3.5
2,512,1024,128,16,8,4,3.8
15,64,16,64,8,8,4,3.7
2,16,2048,4096,8,8,4,3.4
1,4096,2048,64,8,8,8,3.0
6,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
7,4096,2048,64,8,8,4,3.9
2,32,2048,64,8,8,4,2.1
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.3
12,256,2048,64,8,8,4,3.9
2,8,2048,64,8,8,8,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
6,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.3
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,2,8,4,2.1
2,2048,2048,64,8,8,4,3.0
2,2048,2048,65536,8,8,4,2.3
16,2048,2048,64,8,8,1,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,16384,8,8,4,3.9
2,2048,256,64,16,8,4,3.9
12,2048,2048,64,8,8,4,3.9
14,2048,2048,64,8,8,4,2.4
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,64,64,8,8,4,3.9
16,2048,16,16384,8,8,4,2.2
2,2048,2048,64,8,8,4,3.9
10,2048,4,64,2,8,4,3.9
2,4,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,16,8,4,3.3
2,2048,2048,64,8,8,4,3.9
13,2048,2048,64,8,8,4,3.9
14,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
16,2048,2048,64,8,8,4,2.2
2,2048,16,64,8,8,4,2.9
2,2048,2048,1024,1,8,4,3.9
2,2048,4096,64,8,8,4,3.3
2,2048,2048,64,8,8,4,3.9
2,2048,4,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.2
2,2048,2048,64,8,8,4,3.9
16,2048,2048,64,8,2,4,3.1
2,2048,2048,64,8,8,4,3.9
7,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,8,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,16,8,4,2.3
2,2048,2048,64,16,8,4,2.1
2,2048,2048,64,8,8,4,3.9
8,4,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,8,2.4
2,256,2048,64,8,8,4,3.9
2,2048,2048,64,8,2,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,32768,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,256,8,8,4,3.9
2,2048,1024,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,16,3.9
7,2048,2048,64,8,8,4,3.9
16,2048,4,64,8,8,4,3.9
2,2048,16,64,8,8,4,3.9
2,256,2048,64,8,8,4,3.9
2,4096,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,16,2048,64,8,8,4,2.3
2,32,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
11,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.0
2,2048,2048,64,8,8,4,3.9
16,2048,2048,64,8,8,4,3.9
2,2048,2048,256,8,8,4,2.9
2,2048,2048,64,8,8,4,3.9
5,2048,2048,64,8,8,4,3.3
2,2048,2048,64,8,8,4,3.0
2,2048,2048,4096,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.5
2,2048,2048,64,8,8,4,3.9
2,2048,4096,8192,8,8,4,3.9
4,2048,32,64,8,8,4,3.9
5,2048,2048,64,8,8,4,3.9
2,2048,128,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.0
14,16,2048,64,8,8,4,3.9
2,8,16,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
7,2048,2048,64,8,8,4,2.5
2,2048,1024,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.3
2,2048,2048,64,8,8,4,3.9
2,4096,2048,32768,8,8,4,3.9
4,2048,2048,64,8,8,4,3.9
9,2048,4096,64,8,8,4,2.5
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.8
2,2048,2048,64,8,8,4,3.9
2,4,2048,64,8,8,4,2.8
2,2048,2048,64,8,8,4,3.9
2,2048,2048,256,8,8,4,3.9
2,2048,256,64,1,8,4,2.0
2,16,2048,64,8,8,4,3.9
8,2048,2048,4096,8,8,4,3.9
2,2048,2048,64,8,8,4,2.9
2,512,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,2,8,4,3.9
2,2048,16,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
1,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.1
2,2048,2048,256,8,8,4,3.9
2,2048,4,65536,8,8,4,3.1
2,2048,2048,64,8,8,4,3.9
2,2048,2048,2048,8,8,4,3.9
2,2048,2048,2048,8,8,4,3.9
2,2048,2048,64,8,8,4,2.2
2,512,2048,64,8,8,4,3.9
7,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,1024,64,8,8,4,3.9
2,2048,2048,4096,8,8,4,3.9
2,2048,2048,64,8,8,4,3.5
2,2048,2048,64,8,8,4,3.9
2,2048,2048,1024,8,8,4,2.0
2,2048,2048,8192,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,512,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.1
2,2048,2048,64,8,8,4,3.9
10,2048,4,64,8,8,4,3.9
2,2048,2048,64,1,8,4,3.9
13,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,65536,8,8,4,3.7
9,2048,2048,64,8,8,4,3.9
5,2048,32,128,8,8,4,2.1
6,2048,64,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.3
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.2
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,8,128,64,8,8,4,3.9
9,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.1
2,16,2048,64,8,8,4,3.1
2,2048,2048,64,8,8,4,3.9
2,2048,2048,65536,8,8,4,3.9
2,64,2048,64,8,8,4,3.1
2,4,2048,64,8,8,4,3.9
14,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,64,2048,16384,8,8,4,3.9
2,16,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
8,2048,2048,64,8,8,4,3.3
2,8,2048,64,8,8,4,3.9
2,2048,2048,512,8,8,4,3.9
2,2048,2048,64,8,8,4,2.7
2,2048,2048,64,8,4,4,3.6
2,2048,2048,64,16,8,4,3.9
7,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,16,4,3.9
16,2048,1024,64,8,8,4,3.9
10,2048,4,64,8,8,4,3.9
5,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,8,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.3
2,2048,2048,1024,8,8,4,3.9
2,2048,2048,64,8,8,4,2.9
2,2048,2048,64,8,8,4,3.9
10,4,2048,64,8,8,1,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.6
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,4096,64,8,8,4,3.9
2,2048,2048,64,8,1,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,16,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.5
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.8
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,1,2,4,3.9
2,2048,2048,64,8,8,4,2.7
2,2048,2048,64,8,8,4,2.5
2,2048,2048,64,8,8,4,3.9
2,32,2048,64,16,8,4,3.9
2,2048,2048,64,8,1,4,3.9
2,2048,64,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
7,2048,2048,64,8,8,4,3.6
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
5,2048,2048,64,8,8,4,3.9
2,2048,2048,256,8,8,4,3.9
14,2048,2048,256,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
12,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,2.3
10,2048,2048,64,8,8,4,3.9
2,2048,128,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
2,2048,64,64,8,8,4,3.9
2,2048,2048,64,8,8,4,3.9
9,2048,2048,64,8,8,4,3.9
6,4,2048,2048,8,8,4,3.9
2,2048,4,64,8,8,4,3.9
1,2048,2048,64,8,8,4,3.9
2,64,2048,64,8,8,4,3.4
