latency,Area,energy,power
0.000129,82.185,0.9261451542000001,7.179419800000001
0.000171,73.02,1.0015178958000002,5.8568298
0.000305,1022.5,22.501433559999995,73.77519199999999
0.0,0.0,0.0,0.0
0.000195,55.192,1.6126213349999998,8.269853
0.000515,623.5,31.105333075,60.398705
0.000149,542.42,5.325172983999999,35.739416
0.0,0.0,0.0,0.0
0.000515,427.2,23.087413435000002,44.829929
0.000468,144.15,10.090572804,21.561053
0.000195,606.7,7.55284179,38.732522
0.000413,543.91,20.440419433,49.492540999999996
0.000468,169.9,10.593360648,22.635386
0.00019,99.079,1.97600893,10.400047
0.000468,895.06,32.21396334,68.833255
0.00019,334.44,5.30685257,27.930803
0.000608,453.47,25.918919616000004,42.629802000000005
0.000305,122.09,4.60261714,15.090548
0.000129,53.525,0.8386735049999999,6.501345
0.000592,329.78,20.176648192000002,34.082176000000004
0.000269,200.85,5.3145792,19.756800000000002
0.000468,178.97,11.131882632,23.786074
0.000129,450.61,3.9346633140000002,30.501266
0.000305,388.87,10.33909557,33.898674
0.000413,145.45,7.961896599999999,19.2782
0.000149,42.23,0.8023344550000001,5.384795
0.000149,99.07,1.505400342,10.103358
0.000269,79.045,3.2043551690000003,11.912101000000002
0.000305,428.1,11.56880738,37.930516000000004
0.000226,229.29,4.715431692000001,20.864742000000003
0.00019,88.408,1.8453468800000004,9.712352000000001
0.000305,113.54,4.5426937899999995,14.894078
0.000305,680.43,15.313551934999998,50.208366999999996
0.000269,364.11,8.498098705,31.591445
0.000586,265.24,18.631414678000002,31.794223
0.000515,775.51,35.87740393,69.664862
0.000149,326.6,3.341658462,22.427238
0.000413,247.4,10.395134008,25.169815999999997
0.000149,40.466,0.8410720709999999,5.644779
0.000468,216.69,12.014109432,25.671174
0.00045,654.2,22.009143149999996,48.909206999999995
0.000129,41.578,0.597341595,4.630555
0.000149,60.098,1.0760709969999998,7.221953
0.000195,313.29,4.554964245,23.358791
0.000383,279.8,11.706870685999998,30.566242
0.000586,720.32,32.0724832,54.731199999999994
0.000149,93.644,1.536668588,10.313212
0.0,0.0,0.0,0.0
0.000129,124.03,1.39604316,10.822040000000001
0.000171,74.193,1.0277471070000002,6.010217
0.000195,323.08,5.08302639,26.066802
0.000149,103.96,1.4887758160000002,9.991784
0.000269,111.71,3.860884101,14.352729
0.000305,535.01,12.174959499999998,39.917899999999996
0.00019,524.0,6.346744419999999,33.403918
0.000319,90.94,4.3837637140000005,13.742206000000001
0.00019,607.62,7.75029038,40.791002
0.000515,426.98,22.505631325,43.700255
0.00019,493.32,6.294600820000001,33.129478000000006
0.000586,317.85,20.431662348,34.866318
0.000414,115.61,7.3950224219999985,17.862372999999998
0.000413,144.32,7.865720877000002,19.045329000000002
0.0,0.0,0.0,0.0
0.000269,350.77,8.145732645999999,30.281534
0.000269,447.94,10.112692926,37.593654
0.000269,74.462,3.0942889769999997,11.502933
0.0,0.0,0.0,0.0
0.000371,236.16,8.630270264000002,23.262184
0.000129,42.942,0.640037628,4.961532
0.000129,163.48,1.559910957,12.092333
0.000149,44.083,0.8756741919999999,5.877008
0.000333,521.13,14.1767091,42.5727
0.000608,298.27,20.190235391999998,33.207623999999996
0.000217,181.89,3.0232900039999997,13.932212
0.000271,79.47,3.2467187519999996,11.980512
0.000169,239.94,2.8806991330000002,17.045557000000002
0.000169,55.042,0.851252493,5.036997
0.000269,96.015,3.368620019,12.522751000000001
0.000586,1560.4,55.467917314,94.655149
0.0,0.0,0.0,0.0
0.000371,450.16,14.276420207000001,38.480917
0.000468,556.01,24.111126935999998,51.519501999999996
0.000305,123.76,4.71558182,15.460924
0.000149,77.897,1.361513128,9.137672
0.000468,254.24,12.510041544000002,26.730858
0.0,0.0,0.0,0.0
0.000269,199.67,5.1569064639999995,19.170655999999997
0.000217,1217.4,11.866768039,54.685567000000006
0.000592,317.0,20.98923864,35.454795000000004
0.000586,156.92,14.303535704000002,24.408764
