,Name,Sum
0,ERDSE,6263.472834199994
1,MOMPRDSE,7169.984381394339
2,ACDSE,7414.234041554138
3,PPO,6180.576213377426
4,DTL,5416.822032118119
5,NSGA-II,6238.42861055219
6,CC-ACO,6562.140123912871
7,BO,3053.1341517337264
8,CRLDSE,7914.486724666668
