,Name,Sum
0,ERDSE,6302.531235000005
1,MOMPRDSE,6648.190251910546
2,ACDSE,6647.724690231849
3,PPO,4930.860146285024
4,DTL,7751.937984496112
5,NSGA-II,5185.060449304587
6,CC-ACO,4772.519661288282
7,BO,2334.8007845340235
8,CRLDSE,7405.095133333356
