,Name,Sum
0,ERDSE,4770.9087359999985
1,MOMPRDSE,2375.28992083529
2,CSDSE,1442.8854899132402
3,PPO,2536.016531363592
4,DTL,1760.5026347571506
5,NSGA-II,1444.8831819684988
6,ACDSE,3355.0160506830384
7,BO,1442.8530813072066
8,CRLDSE,5974.3528157777755
