,Name,Sum
0,ERDSE,3051.9580723555528
1,MOMPRDSE,3230.268175991475
2,CSDSE,4728.0535694220835
3,PPO,1945.2371372351297
4,DTL,2580.746522973741
5,NSGA-II,2230.9494494635824
6,ACDSE,4102.5641025641025
7,BO,1420.1371915070536
8,CRLDSE,5311.090631888888
