,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
39,195.155039,95.529803,46.76253,2.0,256.0,64.0,64.0,4.0,1.0,8.0,3.4,0.0,0.0,0.0,0.0
40,4.130891,1.085698,0.285347,9.0,32.0,1024.0,32768.0,4.0,2.0,8.0,3.0,0.000129,27.114,0.4883629109999999,3.785759
41,0.0,0.0,0.0,6.0,1024.0,8.0,64.0,4.0,2.0,16.0,2.3,0.000333,427.8,11.28858678,33.899660000000004
42,104.784479,33.957596,11.004667,4.0,2048.0,32.0,1024.0,4.0,2.0,16.0,3.2,0.0,0.0,0.0,0.0
43,8.613316,2.569316,0.766416,10.0,128.0,2048.0,1024.0,4.0,2.0,8.0,3.8,0.00019,112.45,2.41717848,12.721991999999998
44,68.935993,26.775709,10.400062,9.0,128.0,32.0,128.0,4.0,2.0,8.0,3.2,0.000382,276.61,11.532243076,30.189118
45,4.255001,0.837738,0.164937,5.0,8.0,32.0,65536.0,16.0,2.0,8.0,2.6,0.000332,104.88,5.13768838,15.474965
46,5.91675,2.200238,0.818194,16.0,256.0,64.0,128.0,4.0,16.0,4.0,3.2,0.000195,550.83,6.898159905,35.375179
47,129.102564,51.966226,20.917389,5.0,64.0,32.0,64.0,4.0,1.0,8.0,3.6,0.000608,264.54,18.798178048,30.918056
48,173.2294,51.83263,15.509039,2.0,4096.0,1024.0,64.0,8.0,2.0,8.0,3.9,0.000195,57.319,1.6503577349999998,8.463372999999999
49,195.155039,85.269854,37.257291,2.0,512.0,8.0,256.0,4.0,16.0,8.0,2.7,0.000129,106.14,1.307066313,10.132297
50,0.0,0.0,0.0,2.0,4.0,128.0,512.0,4.0,8.0,8.0,3.7,0.000129,38.807,0.6129561419999998,4.751598
51,19.016591,7.401523,2.880776,14.0,128.0,32.0,64.0,4.0,2.0,8.0,3.2,0.0,0.0,0.0,0.0
52,165.166011,50.301866,15.319603,2.0,4096.0,32.0,1024.0,16.0,4.0,8.0,3.2,0.000515,160.33,12.311730595,23.906273
53,48.228268,19.014774,7.496882,10.0,128.0,32.0,256.0,4.0,2.0,8.0,3.2,0.000129,108.7,1.261635996,9.780124
54,195.155039,98.448419,49.663546,2.0,128.0,32.0,64.0,4.0,2.0,4.0,3.2,0.000381,117.05,6.566779221,17.235641
55,195.155039,88.339436,39.98798,2.0,512.0,8.0,512.0,4.0,8.0,8.0,3.5,0.000129,24.9,0.45983598,3.56462
56,195.155039,84.369596,36.474737,2.0,1024.0,32.0,64.0,4.0,2.0,8.0,3.2,0.000129,35.91,0.571098738,4.427122000000001
57,93.587361,37.132789,14.733229,7.0,128.0,32.0,64.0,4.0,2.0,8.0,3.2,0.000129,39.949,0.626106918,4.853542
58,132.5,54.383646,22.321366,4.0,128.0,16.0,128.0,8.0,16.0,8.0,3.4,0.000269,81.552,3.2322526209999998,12.015809
59,195.155039,100.159336,51.404732,2.0,4.0,32.0,64.0,4.0,2.0,8.0,3.2,0.00019,73.191,1.5068977900000002,7.931041
60,49.686137,19.64849,7.770037,10.0,128.0,32.0,64.0,4.0,2.0,8.0,3.2,0.000129,23.92,0.4442603651999999,3.4438788
