,reward,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,63.99873764896342,161.11682203126543,30.762449667450554,5.873553720906868,3,4096,1024,32768,1,8,4,3.2,0.000149,409.62,4.282466365,28.741385
1,77.51937984496125,195.15503875968994,97.99698865630563,49.20913058017193,2,128,32,64,4,2,8,3.2,0.000129,25.206,0.46408227300000005,3.5975370000000004
2,0.0,0.0,0.0,0.0,1,8,8,65536,16,1,4,3.4,0.0,0.0,0.0,0.0
3,22.22222222222222,55.94444444444445,19.064616839760472,6.496795505902495,12,512,4,8192,2,1,4,3.3,0.00045,243.62,12.262083749999999,27.249074999999998
4,30.030030030030026,75.6006006006006,25.956836761552243,8.912063784060962,9,256,512,2048,8,1,2,2.9,0.000333,163.27,6.614802909000001,19.864273
5,32.05035116931324,80.68675906874608,20.711046924284013,5.316206396819408,8,1024,256,32768,2,8,8,3.7,0.000305,404.57,9.92845333,32.552306
6,0.0,0.0,0.0,0.0,4,32,4,32768,8,2,2,3.6,0.0,0.0,0.0,0.0
7,17.064846416382252,42.960750853242324,14.173482366930486,4.676072890158252,15,256,1024,2048,16,2,8,2.8,0.000586,343.24,22.185402128000003,37.859048
8,44.247787610619476,111.39380530973452,27.636434975342485,6.856508187530142,6,16,4096,1024,2,4,4,2.5,0.000226,298.16,5.835208808,25.819508
9,24.213075060532685,60.95641646489105,23.104380934924542,8.75728019040561,11,256,4,2048,1,4,4,3.4,0.000413,144.4,8.348948222999999,20.215370999999998
10,3.6632577659101444,9.222251425678788,1.8135854906870588,0.3566474367498099,12,4096,4096,1024,2,2,8,2.8,0.00045,985.19,36.82174455,81.826099
11,14.495493313440566,36.49240441658664,11.088055684165724,3.3690566796217594,16,512,1024,8192,4,2,4,2.7,0.000592,431.8,26.694331983999998,45.091777
12,9.494460659958682,23.902304711445986,5.756213410322961,1.3862258566771253,13,4096,128,2048,2,2,16,2.9,0.000468,600.07,26.556997428,56.745720999999996
13,0.0,0.0,0.0,0.0,14,4,512,2048,16,8,2,2.0,0.0,0.0,0.0,0.0
14,6.501933422565558,16.368617391308792,3.1393447972521407,0.6020964092707688,9,8,4096,65536,16,2,4,2.9,0.000333,859.64,21.199026087,63.660739
15,32.78688524590164,82.54098360655739,29.000474597071612,10.189211348198441,8,128,512,2048,1,1,1,2.1,0.000305,139.46,5.299199014999999,17.374423
16,19.41747572815534,48.883495145631066,17.699971201074405,6.408890763345168,14,512,16,256,1,2,2,2.3,0.000515,195.51,14.225754875000003,27.622825000000002
17,52.63157894736842,132.5,58.031432112621715,25.41620462673074,4,32,16,256,1,1,16,3.0,0.00019,47.86,1.3234083300000001,6.965307
18,5.3543197204801105,13.479499896308681,3.6657540946660303,0.9969029404600281,15,128,8,32768,4,1,16,2.5,0.000586,714.1,32.651084950000005,55.718575
19,32.78688524590164,82.54098360655739,27.451414131645286,9.129769296415642,8,512,16,4096,16,16,4,2.4,0.000305,208.93,5.914131780000001,19.390596000000002
20,67.11409395973155,168.95973154362417,55.08394222239469,17.958365955243586,3,1024,1024,1024,4,16,2,2.3,0.000149,96.18,1.468826206,9.857894
21,10.169035844334905,25.600547738113125,6.057614160792123,1.4333556334968407,10,512,128,65536,16,8,2,3.5,0.00038,643.47,18.13610306,47.726586999999995
22,0.0,0.0,0.0,0.0,15,8,8,64,4,16,8,3.3,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,12,1024,1024,64,4,8,16,2.2,0.0,0.0,0.0,0.0
24,24.213075060532685,60.95641646489105,19.357006194660638,6.146911359790023,11,256,512,8192,1,16,16,3.3,0.000413,285.96,11.894441713,28.800101
25,51.282051282051285,129.10256410256412,32.40776712879309,8.135108528438765,5,4096,16,128,2,2,8,2.0,0.000195,224.72,4.243480605,21.761439000000003
26,32.78688524590164,82.54098360655739,31.61020089450678,12.105559649663494,8,16,8,1024,1,16,1,2.7,0.000305,124.94,4.460319085,14.623997000000001
27,6.472786046692235,16.295238872547703,4.581341610681436,1.288025976048774,16,4,32,65536,4,4,8,2.5,0.000592,646.18,31.178915503999995,52.667086999999995
28,37.17472118959108,93.58736059479554,31.04215644101894,10.296427534492098,7,128,1024,64,1,2,1,3.0,0.000269,157.21,4.625052575999999,17.193503999999997
29,44.247787610619476,111.39380530973452,43.54900044565522,17.02532231969586,6,16,64,64,8,1,4,2.8,0.000226,77.796,2.349979414,10.398139
30,9.940175386191557,25.02439153473725,7.622030314941767,2.3215487993483106,15,64,512,32768,16,2,8,3.1,0.000586,524.1,26.029296084000002,44.418594
31,59.1715976331361,148.96449704142015,97.79940179459614,64.20807092525776,1,512,32,128,2,16,8,2.6,0.000169,20.62,0.465959364,2.757156
32,12.38748408286927,31.18549117862339,7.800231477969946,1.9510230177685794,12,4096,32,128,4,1,1,3.5,0.00045,535.75,22.761281249999996,50.580625
33,77.51937984496125,195.15503875968994,45.476728341223215,10.597383668725422,2,4096,256,16384,16,2,2,2.2,0.000129,227.8,2.154973896,16.705224
34,0.0,0.0,0.0,0.0,10,8,32,32768,1,16,1,3.0,0.0,0.0,0.0,0.0
35,24.213075060532685,60.95641646489105,23.595953103615216,9.13388672033714,11,128,128,64,4,2,8,3.7,0.000413,131.96,8.004706115000001,19.381855
36,0.0,0.0,0.0,0.0,2,128,4,16384,8,2,4,3.2,0.0,0.0,0.0,0.0
37,21.231422505307854,53.45010615711253,21.939724654139987,9.005623234584077,12,32,4,64,4,2,8,3.2,0.000471,130.17,9.258872313,19.657902999999997
