,reward1,reward2,latency,Area,energy,power,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,best_reward
55,195.155039,98.448419,0.000129,24.9,0.45983598,3.56462,2,128,32,64,4,2,4,3.2,23.610281444444443
56,195.155039,88.339436,0.000129,35.91,0.571098738,4.427122000000001,2,512,8,512,4,8,8,3.5,24.252195444444446
57,82.540984,33.171977,0.000305,88.251,4.050211815,13.279383,8,32,32,64,4,1,8,3.2,29.141028
58,195.155039,84.369596,0.000129,39.949,0.626106918,4.853542,2,1024,32,64,4,2,8,3.2,29.141028
59,93.587361,37.153454,0.000269,80.32,3.228657974,12.002446,7,128,32,64,2,2,8,3.2,32.703718111111115
60,195.155039,74.296283,0.000129,52.0,0.807395391,6.258879,2,2048,32,64,4,2,8,3.2,32.703718111111115
61,195.155039,100.159336,0.000129,23.92,0.4442603651999999,3.4438788,2,4,32,64,4,2,8,3.2,32.703718111111115
62,111.393805,37.86882,0.000226,139.6,3.107827474,13.751449,6,256,32,4096,4,16,8,3.1,32.703718111111115
63,195.155039,96.343922,0.000129,28.862,0.480144321,3.722049,2,128,32,64,8,2,8,3.2,32.703718111111115
64,195.155039,84.199557,0.000129,42.179,0.628638285,4.873165,2,128,1024,64,4,2,8,3.0,32.703718111111115
65,0.0,0.0,0.0,0.0,0.0,0.0,1,128,32,128,8,16,16,3.2,32.703718111111115
66,195.155039,94.492848,0.000129,33.981,0.499140216,3.869304,2,128,32,64,16,2,1,2.9,32.703718111111115
67,195.155039,93.775714,0.000129,30.076,0.5068035900000001,3.92871,2,16,32,1024,4,2,8,2.2,36.39168366666666
68,0.0,0.0,0.0,0.0,0.0,0.0,10,4,32,64,2,16,8,3.2,36.39168366666666
69,195.155039,99.323077,0.000129,24.305,0.4517728349999999,3.502115,2,8,32,64,4,4,8,2.6,36.39168366666666
70,132.5,59.114601,0.00019,45.411,1.27535448,6.712392,4,16,32,64,4,2,8,3.2,38.05015444444444
71,147.222222,105.705621,0.000171,18.974,0.398863485,2.332535,1,128,32,128,2,16,8,3.9,38.05015444444444
72,116.013825,43.625819,0.000217,157.32,2.341710798,10.791294,2,128,32,16384,4,2,8,3.2,38.05015444444444
73,195.155039,96.57257,0.000129,26.938,0.477873405,3.704445,2,128,32,256,4,2,8,3.1,38.924827666666665
74,195.155039,82.200113,0.000129,42.851,0.659592351,5.113119,2,512,32,1024,1,16,8,2.6,38.924827666666665
75,195.155039,91.909702,0.000129,31.251,0.527591424,4.089856,2,128,32,1024,4,2,8,2.0,38.924827666666665
76,195.155039,89.926922,0.000129,33.523,0.5511134129999999,4.272197,2,512,8,64,8,2,8,3.2,38.924827666666665
77,111.393805,39.437445,0.000226,109.37,2.865516376,12.679276,6,512,32,512,2,16,8,3.4,38.924827666666665
78,195.155039,69.636742,0.000129,81.219,0.919059339,7.124491,2,128,64,8192,4,2,8,3.0,38.924827666666665
79,93.587361,37.132789,0.000269,81.552,3.2322526209999998,12.015809,7,128,32,64,4,2,8,3.2,38.924827666666665
80,148.964497,103.848657,0.000169,17.904,0.413255531,2.4452990000000003,1,128,32,128,1,16,2,2.6,38.924827666666665
