power,latency,Area
1.9701439,0.001232,15.454
5.0337972,0.000449,34.141
5.5659865,0.000446,43.481
8.851265,0.000335,65.221
9.064969,0.000326,64.116
13.593305,0.000318,93.564
14.952037,0.00025,97.485
21.282791,0.000243,197.2

power,latency,Area
3.231561,0.00123,32.438
5.049795,0.000449,34.101
11.272708000000002,0.000409,89.955
12.419143,0.000326,142.79
15.029956,0.000319,139.43
15.745573,0.00025,116.22
19.540172,0.000244,206.47
19.751301,0.000242,207.03

power,latency,Area
1.7146708,0.001232,11.938
1.7283631,0.00123,11.938
3.371492,0.000642,22.263
5.241158,0.000449,35.21
7.094367,0.000386,52.598
8.323381,0.000326,54.3
13.263865,0.000317,88.294
14.643756,0.000251,94.413
15.053974,0.00025,109.37

power,latency,Area
4.9074860000000005,0.001232,53.754
11.77595,0.000455,77.36
11.855503,0.000439,78.65
11.9691,0.000409,86.957
12.20712,0.000267,87.823
14.764528,0.00025,96.881

power,latency,Area
1.7387515,0.001232,12.294
1.7713618,0.00123,12.496
3.454063,0.000642,23.027
4.9739015,0.000449,33.461
12.297225,0.000409,103.93
17.55272,0.000317,163.91
27.283512,0.000282,246.36
36.059877,0.00025,364.31

power,latency,Area
6.535207000000001,0.000449,50.864
8.510708000000001,0.000326,58.307
8.58272,0.000325,59.825
13.246918,0.000317,89.405
13.945658,0.000315,102.49
14.933532,0.00025,101.22

power,latency,Area
1.8198303,0.001232,13.524
1.986807,0.00123,15.345
5.522456,0.000449,41.17
8.840765,0.000326,61.27
12.398595,0.000297,90.704
16.454024,0.00025,115.2
20.56386,0.000244,187.42
50.388634,0.000243,569.02

power,latency,Area
2.7847980000000003,0.001232,24.552
3.003493,0.00123,25.135
6.07455,0.000449,56.486
8.722057,0.000326,58.321
9.772647,0.000325,87.254
16.005808,0.000318,148.04
16.326639,0.000282,108.35
17.741405999999998,0.00025,172.64
31.292151,0.000244,336.44
