,reward,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,1.3273680275188682,3.3416490092787505,1.1038609200364962,0.3646430033197348,3,4096,1024,32768,1,8,4,3.2,0.000449,409.62,12.991733731,28.934819
1,7.936507936507937,19.98015873015873,31.305628085420178,49.05077897821399,2,128,32,64,4,2,8,3.2,0.00126,25.206,4.547530260000001,3.609151
2,0.0,0.0,0.0,0.0,1,8,8,65536,16,1,4,3.4,0.0,0.0,0.0,0.0
3,4.883768025906835,12.29488600522046,3.666537022746563,1.0934215846704933,12,512,4,8192,2,1,4,3.3,0.000345,243.62,9.411449925,27.279564999999998
4,15.005387177834383,37.776062220198064,11.230601547142893,3.3387919147181835,9,256,512,2048,8,1,2,2.9,0.00025,163.27,4.97266075,19.890643
5,1.9273180415300741,4.852023169551962,1.2689787304135074,0.3318836209083011,8,1024,256,32768,2,8,8,3.7,0.000317,404.57,10.330873719000001,32.589507000000005
6,0.0,0.0,0.0,0.0,4,32,4,32768,8,2,2,3.6,0.0,0.0,0.0,0.0
7,1.9031339411655246,4.791139696884209,1.3781472963189636,0.39641715552281276,15,256,1024,2048,16,2,8,2.8,0.000446,343.24,16.905872624,37.905544
8,2.750286471114964,6.923846191031922,2.309756028030092,0.7705215803221404,6,16,4096,1024,2,4,4,2.5,0.000409,298.16,10.570382504,25.844455999999997
9,15.034013312534599,37.848128514305856,12.601264969031691,4.195501470032395,11,256,4,2048,1,4,4,3.4,0.000319,144.4,6.455403305999999,20.236373999999998
10,0.16002523314777076,0.40286352444951296,0.06930977669604384,0.011924249414785334,12,4096,4096,1024,2,2,8,2.8,0.000345,985.19,28.277861864999995,81.964817
11,1.1387117889539298,2.8667069286915186,0.776621478795019,0.2103950408356044,16,512,1024,8192,4,2,4,2.7,0.000471,431.8,21.255488646000003,45.128426000000005
12,0.7308236165889248,1.8398484547626184,0.39890409489100376,0.0864878172486992,13,4096,128,2048,2,2,16,2.9,0.00038,600.07,21.6010962,56.844989999999996
13,0.0,0.0,0.0,0.0,14,4,512,2048,16,8,2,2.0,0.0,0.0,0.0,0.0
14,0.48013151709276475,1.2087310942810354,0.20079281958807413,0.033355439095500615,9,8,4096,65536,16,2,4,2.9,0.00025,859.64,15.926653499999999,63.706613999999995
15,16.168642488425085,40.70455746461016,14.59636409808739,5.234152098795579,8,128,512,2048,1,1,1,2.1,0.000318,139.46,5.5300928219999985,17.390228999999998
16,6.334494988820615,15.947091134355901,5.16766848769767,1.6745873823478417,14,512,16,256,1,2,2,2.3,0.000413,195.51,11.422344304000001,27.657008
17,2.483854942871336,6.25310481867859,12.632987964369553,25.522102944954494,4,32,16,256,1,1,16,3.0,0.004026,47.86,27.925970556,6.936406
18,0.44483339111615394,1.1198680621349177,0.26572193963608304,0.06305041780489275,15,128,8,32768,1,1,16,2.5,0.000446,709.96,24.844490210000004,55.705135000000006
19,7.203959647556528,18.13596841272356,6.142223622877976,2.080225890059026,8,512,16,4096,16,16,4,2.4,0.000318,208.93,6.199632918,19.495701
20,22.271714922049,56.069042316258354,31.358451124722947,17.538242429664166,3,1024,1024,1024,4,16,2,2.3,0.000449,96.18,4.532222613,10.094037
21,0.8564347563934538,2.15607449922052,0.4391701364351997,0.08945442692552594,10,512,128,65536,16,8,2,3.5,0.000282,643.47,13.478501892,47.796105999999995
22,0.0,0.0,0.0,0.0,15,8,8,64,4,16,8,3.3,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,12,1024,1024,64,4,8,16,2.2,0.0,0.0,0.0,0.0
24,3.8335288868861217,9.65090897273581,2.6897079153556502,0.7496214802527577,11,256,512,8192,1,16,16,3.3,0.000319,285.96,9.212744882,28.880078
25,6.0743379082670295,15.292145684062248,4.942847710918939,1.597666148237118,5,4096,16,128,2,2,8,2.0,0.000326,224.72,7.153178716,21.942266
26,20.27262160288878,51.036324885272506,19.845671053898574,7.717065452203059,8,16,8,1024,1,16,1,2.7,0.000316,124.94,4.643899975999999,14.695886
27,0.558959914631564,1.4071815850849627,0.3535091870561695,0.08880783166699022,16,4,32,65536,4,4,2,2.5,0.000471,616.31,24.718503429000002,52.480899
28,9.229604889133622,23.235530308393894,9.83576247769215,4.1635470434099995,7,128,1024,64,1,1,1,3.0,0.000439,157.1,7.56309639,17.22801
29,24.449877750611247,61.55256723716382,32.40766593042535,17.06276209424998,6,16,64,64,8,1,4,2.8,0.000409,77.796,4.243507107,10.375323
30,0.16794197583091874,0.42279392415433803,0.08605067965596083,0.017513779281628818,15,64,4096,32768,16,2,2,2.1,0.000446,915.67,33.76758991,75.712085
31,8.130081300813009,20.46747967479675,36.81272755480544,66.21122539542911,1,512,32,128,2,16,1,2.6,0.00123,19.254,3.2887014299999993,2.6737409999999997
32,1.0098492458860817,2.5422954765182113,0.5562927038550246,0.12172525783122415,12,4096,32,128,4,1,1,3.5,0.000345,535.75,17.48094852,50.669416
33,2.9702568577141815,7.477621639295452,3.868471527246802,2.0013144123897164,2,4096,256,16384,16,4,2,2.2,0.000642,229.0,10.829282963999999,16.868042
34,0.0,0.0,0.0,0.0,10,8,1024,32768,8,16,2,3.0,0.0,0.0,0.0,0.0
35,18.00216355992783,45.32044676211831,15.413490251069405,5.2421301794931185,11,128,128,64,4,2,8,3.7,0.000319,131.96,6.1865599950000005,19.393605
36,0.0,0.0,0.0,0.0,8,128,4,16384,8,2,4,3.2,0.0,0.0,0.0,0.0
37,7.957865165038202,20.033925552983675,6.6659470165561805,2.2179801711859968,12,32,4,1024,2,16,2,2.8,0.000345,190.85,7.560109199999999,21.91336
38,0.24889315661604128,0.626588521780884,0.1363536536178933,0.029672294031345352,16,4096,32,256,16,1,8,2.3,0.000471,792.32,32.942352299999996,69.9413
39,2.2378690929604126,5.63383544152784,1.4192690314701082,0.35754054313376143,8,4096,4,2048,1,4,16,2.7,0.000318,374.86,11.205070260000001,35.236070000000005
40,7.936507936507937,19.98015873015873,30.677603205054123,47.10249558659388,2,256,64,64,4,1,4,3.4,0.00126,26.808,4.7356281,3.758435
41,2.185638996695532,5.502346174181003,1.252597338184774,0.2851511049940653,9,32,1024,32768,4,2,8,3.0,0.00025,427.8,8.480751750000001,33.923007000000005
42,9.801989975990052,24.676509764554957,6.879864410587603,1.9181211103061984,9,1024,8,1024,8,16,16,2.3,0.00025,202.01,5.6541745,22.616698
43,9.947889163926607,25.04381097018524,15.616188776049077,9.73754961573236,4,2048,32,1024,8,2,16,2.9,0.000701,119.75,8.887267484999999,12.677985
44,4.634630745474919,11.667682901733109,2.988875369419533,0.7656512479093678,10,128,2048,1024,4,2,8,3.8,0.000282,276.61,8.521838934000002,30.219287
45,0.0,0.0,0.0,0.0,9,2048,2048,128,8,1,16,3.4,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,5,8,4,65536,16,16,8,2.6,0.0,0.0,0.0,0.0
47,3.0210378106499625,7.60546268831128,2.4914230671885433,0.8161487544023985,16,256,64,128,4,16,4,3.2,0.000473,264.54,14.660881433000002,30.995521
48,26.87793771152188,67.66520818875634,29.07545184415438,12.493597855835963,5,64,1024,2048,8,1,1,3.5,0.000326,106.83,4.04757199,12.415865
49,0.3460068910378751,0.8710723481878508,0.17983402900587464,0.03712697120482056,14,4096,1024,512,8,8,8,3.9,0.000413,736.61,28.141438388,68.139076
50,7.936507936507937,19.98015873015873,28.6123577022192,40.97399947298809,2,512,8,256,4,16,8,2.7,0.00126,38.807,5.44393773,4.3205855
51,0.0,0.0,0.0,0.0,2,4,128,32768,8,8,4,2.3,0.0,0.0,0.0,0.0
52,1.2616046135328631,3.1760896145689834,0.8477025204312475,0.2262529243032736,14,32,1024,16384,1,2,8,3.2,0.000413,438.09,16.837597826,40.769002
53,6.716922952877011,16.909853533867874,16.07968718169273,15.290276721986052,2,4096,32,1024,16,4,8,2.9,0.00126,108.7,12.346591320000002,9.798882
54,0.44284903736076037,1.1148724515557145,0.2399919011712777,0.05166161613145395,14,4096,256,256,16,1,4,3.5,0.000413,707.88,25.884440469999998,62.674189999999996
55,3.0142197701544395,7.588298271363802,2.40010501865666,0.7591298990340799,5,128,4,32768,4,16,4,3.1,0.000325,319.5,7.4246588,22.845104
56,3.2404160240516644,8.157747340550065,7.25930328000986,6.45980831610416,2,512,8,16384,4,8,2,3.5,0.00126,156.5,14.098509179999999,11.189293
