,reward,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,21.23788844030189,53.46638414846001,17.66177472058394,5.834288053115757,3,4096,1024,32768,1,8,4,3.2,0.000449,409.62,12.991733731,28.934819
1,7.936507936507937,19.98015873015873,31.305628085420178,49.05077897821399,2,128,32,64,4,2,8,3.2,0.00126,25.206,4.547530260000001,3.609151
2,0.0,0.0,0.0,0.0,1,8,8,65536,16,1,4,3.4,0.0,0.0,0.0,0.0
3,28.985507246376812,72.97101449275362,21.76115550086873,6.489534125635802,12,512,4,8192,2,1,4,3.3,0.000345,243.62,9.411449925,27.279564999999998
4,40.0,100.7,29.937518876507184,8.90024862444115,9,256,512,2048,8,1,2,2.9,0.00025,163.27,4.97266075,19.890643
5,30.837088664481186,77.63237071283139,20.30365968661612,5.3101379345328175,8,1024,256,32768,2,8,8,3.7,0.000317,404.57,10.330873719000001,32.589507000000005
6,0.0,0.0,0.0,0.0,4,32,4,32768,8,2,2,3.6,0.0,0.0,0.0,0.0
7,22.42152466367713,56.44618834080718,16.236462881677998,4.670337088421683,15,256,1024,2048,16,2,8,2.8,0.000446,343.24,16.905872624,37.905544
8,24.449877750611247,61.55256723716382,20.53358917777716,6.849889508217933,6,16,4096,1024,2,4,4,2.5,0.000409,298.16,10.570382504,25.844455999999997
9,31.347962382445143,78.91849529780565,26.27535123246686,8.74819115321747,11,256,4,2048,1,4,4,3.4,0.000319,144.4,6.455403305999999,20.236373999999998
10,4.778162303361057,12.029023598711463,2.0695071380248935,0.35604384339180783,12,4096,4096,1024,2,2,8,2.8,0.000345,985.19,28.277861864999995,81.964817
11,18.219388623262876,45.8673108590643,12.425943660720304,3.3663206533696703,16,512,1024,8192,4,2,4,2.7,0.000471,431.8,21.255488646000003,45.128426000000005
12,11.693177865422797,29.437575276201894,6.38246551825606,1.3838050759791871,13,4096,128,2048,2,2,16,2.9,0.00038,600.07,21.6010962,56.844989999999996
13,0.0,0.0,0.0,0.0,14,4,512,2048,16,8,2,2.0,0.0,0.0,0.0,0.0
14,8.660575318857324,21.802998365223313,3.6218854118511508,0.6016628409010029,9,8,4096,65536,16,2,4,2.9,0.00025,859.64,15.926653499999999,63.706613999999995
15,31.446540880503147,79.16666666666669,28.388602237065307,10.179950361780746,8,128,512,2048,1,1,1,2.1,0.000318,139.46,5.5300928219999985,17.390228999999998
16,24.213075060532685,60.95641646489105,19.752978761748057,6.40096962043038,14,512,16,256,1,2,2,2.3,0.000413,195.51,11.422344304000001,27.657008
17,2.483854942871336,6.25310481867859,12.632987964369553,25.522102944954494,4,32,16,256,1,1,16,3.0,0.004026,47.86,27.925970556,6.936406
18,7.117334257858463,17.917888994158684,4.251551034177329,1.008806684878284,15,128,8,32768,1,1,16,2.5,0.000446,709.96,24.844490210000004,55.705135000000006
19,31.446540880503147,79.16666666666669,26.811877870462325,9.080548988723205,8,512,16,4096,16,16,4,2.4,0.000318,208.93,6.199632918,19.495701
20,22.271714922049,56.069042316258354,31.358451124722947,17.538242429664166,3,1024,1024,1024,4,16,2,2.3,0.000449,96.18,4.532222613,10.094037
21,13.70295610229526,34.49719198752832,7.026722182963195,1.431270830808415,10,512,128,65536,16,8,2,3.5,0.000282,643.47,13.478501892,47.796105999999995
22,0.0,0.0,0.0,0.0,15,8,8,64,4,16,8,3.3,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,12,1024,1024,64,4,8,16,2.2,0.0,0.0,0.0,0.0
24,31.347962382445143,78.91849529780565,22.026381439013587,6.147627086225152,11,256,512,8192,8,16,16,3.3,0.000319,286.93,9.186162612,28.796748
25,30.674846625766868,77.22392638036811,24.960925407295605,8.068066807685224,5,4096,16,128,2,2,8,2.0,0.000326,224.72,7.153178716,21.942266
26,31.645569620253166,79.66772151898735,30.979099659577255,12.046341949032538,8,16,8,1024,1,16,1,2.7,0.000316,124.94,4.643899975999999,14.695886
27,8.943358634105024,22.514905361359403,5.656146992898712,1.4209253066718435,16,4,32,65536,4,4,2,2.5,0.000471,616.31,24.718503429000002,52.480899
28,22.779043280182233,57.346241457858774,24.27506506120581,10.275804808564656,7,128,1024,64,1,1,1,3.0,0.000439,157.1,7.56309639,17.22801
29,24.449877750611247,61.55256723716382,32.40766593042535,17.06276209424998,6,16,64,64,8,1,4,2.8,0.000409,77.796,4.243507107,10.375323
30,14.064243375109454,35.406732696838056,9.456076775775497,2.5254346046266503,15,64,512,32768,16,2,2,2.1,0.000446,505.05,19.611053511999998,43.970971999999996
31,8.130081300813009,20.46747967479675,36.81272755480544,66.21122539542911,1,512,32,128,2,16,1,2.6,0.00123,19.254,3.2887014299999993,2.6737409999999997
32,16.157587934177307,40.67672762429138,8.900683261680394,1.9476041252995864,12,4096,32,128,4,1,1,3.5,0.000345,535.75,17.48094852,50.669416
33,7.936507936507937,19.98015873015873,18.515689864182534,17.158560939213732,2,4096,256,2048,8,1,2,2.2,0.00126,111.52,12.99991896,10.317396
34,0.0,0.0,0.0,0.0,10,8,1024,32768,8,16,2,3.0,0.0,0.0,0.0,0.0
35,31.347962382445143,78.91849529780565,26.84019123391665,9.128352774020096,11,128,128,64,4,2,8,3.7,0.000319,131.96,6.1865599950000005,19.393605
36,0.0,0.0,0.0,0.0,11,256,4,16384,8,2,2,3.2,0.0,0.0,0.0,0.0
37,28.985507246376812,72.97101449275362,24.279860433074518,8.078709426578124,12,32,4,1024,2,16,2,2.8,0.000345,190.85,7.560109199999999,21.91336
