power,latency
7.179419800000001,0.000129
5.8568298,0.000171
73.77519199999999,0.000305
8.269853,0.000195
60.398705,0.000515
35.739416,0.000149
44.829929,0.000515
21.561053,0.000468
38.732522,0.000195
49.492541,0.000413
26.952354,0.000468
10.400047,0.00019
68.833255,0.000468
27.800122,0.00019
42.629802000000005,0.000608
15.090548,0.000305
6.501345,0.000129
34.082176000000004,0.000592
19.7568,0.000269
23.786074,0.000468
30.501266,0.000129
33.898674,0.000305
19.2782,0.000413
5.594593000000001,0.000149
10.103358,0.000149
11.912101000000002,0.000269
37.930516,0.000305
20.993814,0.000226
9.712352,0.00019
14.894078,0.000305
50.208367,0.000305
13.666823,0.000269
31.794223,0.000586
69.664862,0.000515
21.999485,0.000149
25.169816,0.000413
5.644779,0.000149
25.671174,0.000468
48.909207,0.00045
4.630555,0.000129
7.221953,0.000149
10.759701000000002,0.000195
30.566242,0.000383
54.7312,0.000586
10.313212,0.000149
10.82204,0.000129
6.010217,0.000171
25.908558,0.000195
9.991784,0.000149
14.41139,0.000269
39.9179,0.000305
33.403918,0.00019
13.742206,0.000319
40.791002,0.00019
43.700255,0.000515
33.129478000000006,0.00019
34.866318,0.000586
17.862372999999998,0.000414
19.045329,0.000413
30.281534,0.000269
37.593654,0.000269
11.502933,0.000269
23.750271,0.000371
10.982447,0.000129
12.092333,0.000129
5.877008,0.000149
42.5727,0.000333
33.207624,0.000608
13.932212,0.000217
11.980512,0.000271
17.045557000000002,0.000169
5.036997,0.000169
12.294515,0.000269
44.934308,0.000586
38.480917,0.000371
22.422907,0.000149
15.460924,0.000305
9.137672,0.000149
26.730858,0.000468
19.170656,0.000269
54.685567000000006,0.000217
14.929662,0.00019
24.408764,0.000586
16.027217,0.000269
10.275001,0.000226
19.870355,0.00045
23.883567,0.00038
12.35758,0.000269
13.515210000000002,0.000149
32.301606,0.000413
54.145666000000006,0.000129
18.037855,0.000269
13.022585,0.000269
21.109589,0.00045
46.827408,0.000333
23.004219,0.000468
13.148271,0.000305
21.148016,0.000269
33.124613,0.00045
42.401036,0.000515
21.719913,0.000195
13.734378,0.000269
73.294312,0.000413
48.733342,0.000586
40.732075,0.000515
5.565311,0.000129
3.631651,0.000169
16.987393,0.000332
12.769635,0.000269
36.532576,0.000608
24.593319,0.000226
2.61559,0.000171
13.38192,0.000149
12.294364,0.000226
20.626348,0.000269
20.305738,0.000217
33.353343,0.000146
13.217167,0.000269
27.786296,0.000333
34.493004,0.000515
14.509585,0.000319
10.30777,0.000195
9.587358,0.000149
7.000127,0.00019
9.476343,0.00019
43.383053,0.000586
25.315543,0.000333
33.439116,0.000269
9.057869,0.000149
