,reward1,reward2,latency,Area,energy,power,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,best_reward
46,0.0,0.0,0.0,0.0,0.0,0.0,5,8,4,65536,16,16,8,2.6,18.295022333333332
47,53.224101,17.43533,0.000473,264.54,14.660881433000002,30.995521,16,256,64,128,4,16,4,3.2,18.295022333333332
48,77.223926,34.478548,0.000326,98.08,3.749060962,11.500187,5,256,512,2048,8,1,2,3.5,18.295022333333332
49,17.974805,3.710922,0.000413,736.61,28.141438388,68.139076,14,4096,1024,512,8,8,8,3.9,18.295022333333332
50,19.980159,28.612358,0.00126,38.807,5.44393773,4.3205855,2,512,8,256,4,16,8,2.7,18.295022333333332
51,0.0,0.0,0.0,0.0,0.0,0.0,2,4,128,2048,8,8,2,3.7,18.295022333333332
52,50.817434,13.56324,0.000413,438.09,16.837597826,40.769002,14,32,1024,16384,1,2,8,3.2,18.295022333333332
53,19.980159,18.99926,0.00126,108.7,12.346591320000002,9.798882,2,4096,32,1024,16,4,8,2.9,18.295022333333332
54,59.410529,12.368764,0.000282,490.33,12.901908054000002,45.751447,10,4096,512,256,8,1,2,2.9,18.295022333333332
55,77.461538,24.500332,0.000325,319.5,7.4246588,22.845104,5,128,4,32768,4,16,4,3.1,18.295022333333332
56,19.980159,17.779667,0.00126,156.5,14.09850918,11.189293,2,512,8,16384,4,8,2,3.5,18.295022333333332
57,79.416404,32.557087,0.000317,88.294,4.204645205,13.263865,8,32,16,256,4,1,2,2.9,18.295022333333332
58,77.223926,39.963344,0.000326,64.338,2.790594882,8.560107,5,8,32,64,8,1,4,3.2,18.295022333333332
59,61.552567,28.034534,0.000409,139.6,5.670661891,13.864699,6,256,32,4096,4,16,8,3.1,18.295022333333332
60,100.7,29.872312,0.00025,163.27,4.99439375,19.977575,9,256,512,2048,8,1,2,2.3,18.295022333333332
61,0.0,0.0,0.0,0.0,0.0,0.0,1,128,32,128,8,1,16,3.0,18.295022333333332
62,0.0,0.0,0.0,0.0,0.0,0.0,6,8,32,64,16,16,1,2.9,18.295022333333332
63,100.7,31.184793,0.00025,145.03,4.582840249999999,18.331361,9,16,512,1024,8,1,2,2.2,18.295022333333332
64,89.27305,29.515721,0.000282,127.6,5.115801198,18.141139,10,4,256,1024,2,2,8,3.2,18.295022333333332
65,20.46748,20.004318,0.00123,145.62,11.1371211,9.05457,1,8,32,16384,4,4,8,2.6,18.295022333333332
66,100.7,27.305615,0.00025,242.4,5.97745775,23.909831,9,256,8,16384,4,1,16,2.9,18.295022333333332
67,65.220207,40.342215,0.000386,52.598,2.738425662,7.094367,4,16,32,256,1,8,1,3.2,18.295022333333332
68,20.434253,20.329397,0.001232,138.02,10.7837906176,8.7530768,1,64,32,16384,2,2,2,3.5,18.295022333333332
69,100.7,29.510957,0.00025,177.2,5.11745275,20.469811,9,256,512,2048,8,8,2,2.6,18.295022333333332
70,19.980159,22.891156,0.00126,57.578,8.505209160000001,6.750166,2,2048,64,1024,1,16,1,3.2,18.295022333333332
71,39.213396,37.448343,0.000642,37.779,3.178009782,4.950171,2,512,32,128,2,16,8,2.0,18.295022333333332
72,100.7,30.493733,0.00025,160.68,4.79290975,19.171639,9,512,8,2048,8,1,2,2.9,18.295022333333332
73,0.0,0.0,0.0,0.0,0.0,0.0,1,4,32,32768,1,16,1,3.2,21.162736333333328
74,61.552567,29.234727,0.000409,107.53,5.214616257,12.749673,6,512,32,512,2,16,1,3.4,21.190506777777777
75,100.7,31.82924,0.00025,142.78,4.39914125,17.596565000000002,9,256,64,2048,8,1,2,3.0,23.30602111111111
76,77.223926,39.704894,0.000326,57.779,2.82704266,8.671909999999999,5,128,32,64,1,2,8,3.2,23.30602111111111
77,20.46748,36.81878,0.00123,19.55,3.2876202600000006,2.6728620000000003,1,512,32,128,1,16,2,2.6,23.30602111111111
78,100.7,29.934344,0.00025,163.3,4.9737155,19.894862,9,256,512,2048,8,1,8,2.9,23.30602111111111
79,39.213396,42.1311,0.000642,27.483,2.510815776,3.910928,2,128,32,64,2,8,1,2.0,23.30602111111111
80,0.0,0.0,0.0,0.0,0.0,0.0,1,512,32,64,2,16,16,2.1,23.30602111111111
81,100.7,29.547167,0.00025,177.2,5.10491775,20.419671,9,256,512,2048,8,8,2,2.9,26.453371777777775
82,19.980159,23.998118,0.00126,53.608,7.73866548,6.141798,2,8,2048,256,16,2,2,3.2,26.453371777777775
83,77.223926,33.645467,0.000326,106.8,3.93701724,12.07674,5,512,128,4096,2,2,1,3.8,26.453371777777775
84,85.338983,28.467947,0.000295,150.89,5.49930917,18.641726,9,32,512,2048,8,1,2,3.6,26.453371777777775
85,20.434253,33.838016,0.001232,30.855,3.892338912,3.159366,1,16,32,2048,1,16,1,3.2,26.453371777777775
86,20.46748,24.502215,0.00123,86.824,7.4235174,6.03538,1,128,32,8192,2,16,4,2.6,26.453371777777775
87,100.7,30.860738,0.00025,151.93,4.67959025,18.718361,9,256,256,2048,8,1,2,2.0,26.453371777777775
88,78.918495,30.417083,0.000319,137.91,4.817096185,15.100615,8,128,8,64,8,16,2,3.5,26.453371777777775
89,19.980159,27.770768,0.00126,36.415,5.77889298,4.586423,2,512,32,128,2,16,1,2.6,26.453371777777775
90,78.918495,25.11439,0.000319,172.79,7.066025130999999,22.150549,11,8,512,1024,4,1,2,2.9,26.453371777777775
91,100.7,28.828775,0.00025,179.66,5.362509500000001,21.450038,9,1024,32,64,4,16,1,2.6,26.453371777777775
92,20.46748,36.120274,0.00123,21.069,3.41600397,2.777239,1,512,256,128,2,16,2,2.8,26.453371777777775
93,100.298805,30.860796,0.000251,151.99,4.679572716,18.643716,9,256,256,2048,8,1,8,2.4,26.453371777777775
94,72.971014,22.464934,0.000345,208.29,8.831005364999998,25.597117,12,512,32,4096,2,4,2,3.2,26.453371777777775
95,0.0,0.0,0.0,0.0,0.0,0.0,3,512,32,128,2,16,16,3.2,26.453371777777775
96,100.7,24.169285,0.00025,288.72,7.62944275,30.517771,9,512,2048,2048,8,1,2,2.2,26.453371777777775
97,0.0,0.0,0.0,0.0,0.0,0.0,2,2048,32,128,8,16,16,3.2,26.453371777777775
98,20.46748,36.741977,0.00123,23.75,3.3013790400000005,2.684048,1,512,32,1024,1,1,1,2.6,26.453371777777775
99,100.7,28.081072,0.00025,210.09,5.65188175,22.607527,9,1024,64,512,8,1,2,2.9,26.453371777777775
100,57.346241,26.710737,0.000439,146.9,6.246671918999999,14.229321,7,16,256,128,16,16,1,3.2,26.453371777777775
101,0.0,0.0,0.0,0.0,0.0,0.0,1,8,32,128,2,16,1,3.4,26.453371777777775
102,100.7,31.973769,0.00025,141.54,4.35946075,17.437843,9,256,32,2048,8,1,2,3.0,35.1282536666667
103,20.434253,34.183583,0.001232,30.929,3.814040384,3.095812,1,16,32,2048,2,16,1,3.8,35.1282536666667
104,20.46748,36.738015,0.00123,19.8,3.3020912099999995,2.684627,1,512,32,128,4,16,2,2.6,35.1282536666667
105,78.918495,30.519981,0.000319,110.64,4.784669197,14.998963,8,256,8,2048,2,1,2,3.5,35.1282536666667
106,20.434253,41.637829,0.001232,15.47,2.5706579360000004,2.086573,1,128,32,64,2,8,8,3.1,36.82936388888892
107,0.0,0.0,0.0,0.0,0.0,0.0,1,4,256,128,1,16,4,2.6,36.82936388888892
108,100.7,33.432855,0.00025,124.53,3.9872505,15.949002,9,16,64,1024,8,1,2,2.9,36.82936388888892
109,35.912981,29.40791,0.000701,56.98,5.153379348400001,7.351468400000001,4,16,256,64,2,8,1,3.2,36.82936388888892
110,20.46748,36.853494,0.00123,21.54,3.28142967,2.667829,1,256,32,128,8,16,8,2.6,36.82936388888892
111,66.424802,21.790304,0.000379,191.13,9.386287849,24.765931,13,256,8,2048,8,1,16,3.1,36.82936388888892
112,19.980159,25.32011,0.00126,58.4,6.951672,5.5172,2,8,32,4096,2,8,1,3.2,37.902763777777785
113,20.46748,38.833282,0.00123,16.892,2.95537266,2.402742,1,512,32,128,4,8,1,2.2,37.902763777777785
114,100.7,31.417636,0.00025,138.43,4.515163,18.060652,9,64,512,64,8,1,2,2.6,39.17838555555558
115,19.980159,31.504453,0.00126,24.345,4.4903124,3.56374,2,128,32,64,4,1,1,3.0,39.65777144444446
116,20.46748,37.084822,0.00123,19.254,3.2406194999999998,2.63465,1,512,32,128,2,16,1,2.8,39.97405744444445
117,85.338983,29.334065,0.000295,142.78,5.17935807,17.557146,9,256,64,2048,8,1,2,3.5,41.854948777777764
118,39.213396,37.872997,0.000642,41.9,3.10714197,4.839785,2,128,32,2048,2,8,1,2.0,41.854948777777764
119,20.434253,38.001819,0.001232,19.015,3.086111952,2.504961,1,512,4,128,1,16,1,3.6,41.854948777777764
120,100.7,31.724961,0.00025,142.78,4.4281085,17.712434000000002,9,256,64,2048,8,1,2,2.2,41.854948777777764
121,19.980159,31.294289,0.00126,26.463,4.55082642,3.611767,2,16,16,64,2,8,2,3.2,41.854948777777764
122,20.46748,36.387283,0.00123,20.546,3.3660548999999995,2.73663,1,512,32,128,1,16,8,2.6,41.854948777777764
123,100.7,32.931242,0.00025,131.21,4.1096442500000006,16.438577000000002,9,64,32,2048,8,1,2,2.9,41.854948777777764
124,19.980159,30.419682,0.00126,28.895,4.816273140000001,3.822439,2,128,32,256,2,8,2,3.2,41.854948777777764
125,39.213396,40.138432,0.000642,30.862,2.766302244,4.3088820000000005,2,512,32,64,4,2,8,2.0,41.854948777777764
126,100.7,31.784667,0.00025,142.78,4.411488,17.645952,9,256,64,2048,8,1,2,2.6,41.854948777777764
127,19.980159,30.761644,0.00126,27.483,4.70978802,3.737927,2,128,32,64,2,8,1,3.2,41.854948777777764
128,20.46748,36.14303,0.00123,18.889,3.411703889999999,2.773743,1,512,32,64,1,16,1,2.1,41.854948777777764
129,85.338983,27.877432,0.000295,158.22,5.734755455,19.439849,9,256,512,1024,8,1,2,3.8,41.854948777777764
130,19.980159,30.452622,0.00126,27.483,4.80585924,3.814174,2,128,32,64,2,8,1,2.3,41.854948777777764
131,0.0,0.0,0.0,0.0,0.0,0.0,1,8,32,64,1,16,4,2.6,41.854948777777764
132,0.0,0.0,0.0,0.0,0.0,0.0,9,256,4,2048,8,1,2,2.8,41.854948777777764
133,77.223926,38.814483,0.000326,65.957,2.958236144,9.074344,5,128,32,64,2,8,1,2.6,41.854948777777764
134,20.434253,38.931874,0.001232,18.882,2.940423024,2.386707,1,128,16,128,2,16,8,3.2,41.854948777777764
135,57.346241,22.53252,0.000439,192.15,8.77810791,19.99569,7,1024,512,2048,8,1,2,2.9,41.854948777777764
136,39.213396,30.487293,0.000642,88.905,4.794934931999999,7.468745999999999,2,128,32,8192,2,8,1,2.0,41.854948777777764
137,20.46748,23.970388,0.00123,80.407,7.756580489999999,6.306163,1,512,32,8192,2,16,1,2.2,41.854948777777764
138,100.7,27.888486,0.00025,216.75,5.7302105,22.920842,9,1024,64,1024,8,1,2,2.9,41.854948777777764
139,20.46748,41.19196,0.00123,14.486,2.62660965,2.135455,1,128,4,64,2,8,1,2.0,42.182883111111195
140,20.434253,38.669825,0.001232,19.559,2.980410048,2.419164,1,512,256,128,8,2,2,3.2,42.182883111111195
141,100.7,32.303901,0.00025,130.55,4.2708125,17.08325,9,256,8,1024,1,8,2,2.2,48.41521755555565
142,39.213396,42.310974,0.000642,27.483,2.489512932,3.877746,2,128,32,64,2,8,1,2.2,50.8006353333334
143,20.46748,45.058971,0.00123,12.454,2.195118147,1.7846489,1,16,32,128,1,1,1,2.6,51.17727344444453
144,100.7,27.798678,0.00025,216.75,5.7672947500000005,23.069179,9,1024,64,1024,8,1,2,2.2,51.17727344444453
