power,latency
1.8146059,0.000169
3.3620972,0.000129

power,latency
2.9775743,0.000171
3.852288,0.000169
4.5189341,0.000129

power,latency
1.7224796,0.000171
1.7563313,0.000169
3.3546157,0.000129
3.3724085,0.000125

power,latency
1.826948,0.000169
3.442412,0.000129

power,latency
1.8169634,0.000171
1.8830546,0.000169
3.5880394,0.000129

power,latency
1.854446,0.000171
1.885779,0.000169
3.477894,0.000129

power,latency
1.816998,0.000169
3.4622465,0.000129

power,latency
3.040293,0.000169
4.053698,0.000129
