Unnamed: 0,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
354,16.697436256935983,7,64,128,4096,4,4,4,3.2,0.000439,116.8,13.896938
355,34.584700556798005,9,128,16,512,4,4,4,2.5,0.000251,107.33,15.62145
356,30.76923076923077,5,64,16,512,4,4,4,2.7,0.000325,60.585,8.647007
357,22.779043280182236,7,64,8,512,4,4,4,3.0,0.000439,82.202,11.861287
358,31.54574132492113,8,32,64,512,4,4,4,3.1,0.000317,94.17,13.620262
359,24.449877750611247,6,16,16,1024,4,4,4,3.1,0.000409,76.163,10.36824
360,2.483854942871336,4,256,16,256,4,4,8,2.9,0.004026,52.353,7.306165
361,22.779043280182236,7,32,32,512,4,4,4,3.2,0.000439,82.099,11.816371
362,14.26533523537803,4,128,64,1024,4,2,4,2.9,0.000701,57.042,7.432021
363,2.483854942871336,4,64,32,1024,4,4,4,3.0,0.004026,55.615,7.214841000000001
364,24.449877750611247,6,128,16,1024,4,4,4,2.7,0.000409,79.2,10.778186
365,2.4826216484607744,4,512,32,512,4,4,4,3.2,0.004028,64.289,8.194818
366,24.449877750611247,6,64,128,512,4,4,4,3.0,0.000409,74.911,10.642383
367,24.449877750611247,6,32,64,1024,4,4,8,3.0,0.000409,75.133,10.594268
368,30.674846625766868,5,512,8,2048,4,4,4,2.8,0.000326,89.191,10.927366
369,32.07075475570808,9,256,32,256,4,4,2,2.8,0.00025,111.68,16.202612000000002
370,27.09614049348846,9,128,8,512,4,8,4,2.7,0.00025,121.5,16.110709
371,22.779043280182236,7,32,16,512,4,4,4,2.9,0.000439,81.631,11.778294
372,30.674846625766868,5,128,16,512,4,4,4,3.2,0.000326,62.155,8.820219999999999
373,33.59319235300695,9,16,32,1024,4,4,4,2.8,0.00025,109.12,15.36488
374,30.674846625766868,5,32,256,256,4,4,4,2.9,0.000326,64.7,9.150091
375,31.54574132492113,8,32,8,256,4,4,4,3.0,0.000317,90.33,13.282561
376,30.76923076923077,5,32,16,512,4,4,4,2.7,0.000325,59.926,8.555097
377,22.779043280182236,7,128,16,256,4,4,2,3.1,0.000439,82.376,12.012932
378,21.80228299881137,9,64,32,4096,4,4,4,2.8,0.00025,135.45,16.901059
379,17.98561151079137,5,64,64,4096,4,4,4,3.2,0.000556,92.006,10.299195
380,24.449877750611247,6,128,128,256,4,4,4,3.0,0.000409,75.045,10.769424
381,30.76923076923077,5,64,64,1024,4,4,4,3.2,0.000325,67.392,9.015799
382,30.67098923141567,9,16,32,2048,4,4,4,2.9,0.00025,114.2,15.736267000000002
383,24.449877750611247,6,32,16,512,4,4,4,2.7,0.000409,70.78,10.178858
384,2.483854942871336,4,128,32,512,4,4,4,2.9,0.004026,51.12,7.096193
385,30.03155026047261,8,8,16,2048,4,4,2,2.6,0.000317,102.49,14.007969
386,22.779043280182236,7,64,16,256,4,4,4,2.9,0.000439,80.8,11.800565
387,15.73474950012942,7,256,32,4096,4,4,4,3.1,0.000439,120.32,14.299012
388,22.779043280182236,7,64,16,2048,4,4,8,3.1,0.000439,93.4,12.562083
389,22.779043280182236,7,64,64,1024,4,4,2,3.2,0.000439,89.842,12.312609
390,31.54574132492113,8,32,32,512,4,4,4,3.0,0.000317,93.014,13.484852
391,22.779043280182236,7,64,128,1024,4,4,4,3.2,0.000439,92.196,12.583565
392,23.353696346607087,6,64,32,4096,4,4,4,2.8,0.000409,102.32,11.901489
393,2.484472049689441,4,32,128,1024,4,4,4,2.8,0.004025,57.049,7.367577
394,22.779043280182236,7,64,32,512,4,4,4,2.9,0.000439,83.02,11.956846
395,22.779043280182236,7,64,64,256,4,4,4,3.1,0.000439,82.285,11.969401
396,17.740870960420946,10,128,128,512,4,8,8,2.7,0.000282,141.38,18.592463
