Unnamed: 0,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
439,22.779043280182236,7,32,32,256,8,4,4,2.9,0.000439,93.119,12.107961
440,22.779043280182236,7,8,64,256,4,4,2,3.1,0.000439,79.995,11.738802
441,31.54574132492113,8,32,64,256,4,4,4,3.0,0.000317,92.424,13.532216
442,22.779043280182236,7,64,64,256,4,4,2,2.9,0.000439,81.661,11.95657
443,30.674846625766868,5,32,128,256,4,4,2,2.8,0.000326,60.338,8.764655
444,24.449877750611247,6,128,64,1024,4,4,2,2.7,0.000409,80.532,10.947026
445,24.449877750611247,6,64,64,256,4,4,4,3.1,0.000409,71.091,10.322185
446,22.779043280182236,7,16,16,1024,4,4,2,3.2,0.000439,87.014,11.945636
447,30.674846625766868,5,64,64,256,4,4,4,3.0,0.000326,59.894,8.683095
448,24.449877750611247,6,16,32,128,8,4,2,2.8,0.000409,78.639,10.324035
449,22.779043280182236,7,64,32,512,4,4,4,3.0,0.000439,83.02,11.949457
450,22.779043280182236,7,64,32,256,4,4,4,2.9,0.000439,81.271,11.859646
451,31.54574132492113,8,16,16,512,4,4,4,3.0,0.000317,91.994,13.34683
452,24.449877750611247,6,32,64,256,8,4,2,3.1,0.000409,80.578,10.515047
453,22.779043280182236,7,32,32,512,4,4,4,3.2,0.000439,82.099,11.816371
454,22.779043280182236,7,64,32,256,8,4,2,3.0,0.000439,93.416,12.194952
455,24.449877750611247,6,32,64,512,4,4,4,3.2,0.000409,72.05,10.303224
456,22.779043280182236,7,32,32,1024,4,4,4,3.1,0.000439,87.845,12.060632
457,22.779043280182236,7,16,32,512,4,4,2,3.0,0.000439,80.818,11.735867
458,31.54574132492113,8,16,64,256,4,4,2,2.9,0.000317,91.314,13.446718
459,24.449877750611247,6,64,128,256,4,4,2,3.0,0.000409,72.538,10.521934
460,22.779043280182236,7,16,64,256,4,2,2,2.9,0.000439,79.038,11.755433
461,24.449877750611247,6,32,32,256,4,4,2,3.1,0.000409,68.808,10.081196
462,22.779043280182236,7,32,64,1024,4,4,2,2.8,0.000439,88.92,12.212573
463,31.54574132492113,8,64,64,256,4,4,2,3.0,0.000317,92.853,13.650858
464,24.449877750611247,6,128,64,512,4,4,4,3.1,0.000409,74.723,10.63929
465,22.779043280182236,7,32,32,256,4,4,2,3.1,0.000439,79.726,11.698765
466,24.449877750611247,6,64,32,512,4,4,2,3.2,0.000409,71.115,10.268323
467,22.779043280182236,7,128,128,256,4,4,2,2.9,0.000439,86.274,12.46309
468,22.779043280182236,7,128,32,1024,4,4,2,3.1,0.000439,91.02,12.447667
469,22.779043280182236,7,64,16,256,4,4,2,3.0,0.000439,80.18,11.765934
470,24.449877750611247,6,32,64,128,4,4,4,3.0,0.000409,69.225,10.161207
471,31.54574132492113,8,64,32,256,4,4,4,3.0,0.000317,92.319,13.533436
472,22.779043280182236,7,16,32,256,4,4,4,2.9,0.000439,79.925,11.682506
473,22.779043280182236,7,16,64,1024,4,4,2,3.0,0.000439,88.495,12.140395
474,31.54574132492113,8,16,16,512,4,4,4,3.0,0.000317,91.994,13.34683
475,22.779043280182236,7,16,32,256,4,4,2,2.8,0.000439,79.301,11.664117
476,31.54574132492113,8,32,32,1024,4,4,2,3.0,0.000317,98.822,13.764088
477,22.779043280182236,7,32,32,512,4,4,4,3.1,0.000439,82.099,11.822652
478,24.449877750611247,6,32,32,256,4,4,4,2.9,0.000409,69.432,10.120129
479,24.449877750611247,6,64,32,256,4,4,4,2.9,0.000409,70.222,10.228244
480,22.779043280182236,7,32,32,512,4,4,2,3.0,0.000439,81.243,11.791929
481,31.54574132492113,8,16,64,256,4,4,2,3.1,0.000317,91.314,13.430281
482,24.449877750611247,6,16,32,1024,4,4,2,3.0,0.000409,76.626,10.435917
483,22.779043280182236,7,16,16,512,4,4,2,2.9,0.000439,80.35,11.6852
484,22.779043280182236,7,16,32,512,4,4,4,3.1,0.000439,81.67,11.767431
485,24.449877750611247,6,32,32,128,4,2,2,2.9,0.000409,67.098,10.00752
486,24.449877750611247,6,32,64,256,4,4,4,2.9,0.000409,70.301,10.227709
487,22.779043280182236,7,32,64,256,4,4,2,3.0,0.000439,80.7,11.828385
488,22.779043280182236,7,32,32,512,4,4,4,3.0,0.000439,82.099,11.828924
489,22.779043280182236,7,32,32,256,4,4,4,2.9,0.000439,80.35,11.73848
490,22.779043280182236,7,16,64,128,4,4,2,3.2,0.000439,79.563,11.703433
491,22.779043280182236,7,32,64,256,4,4,4,2.9,0.000439,81.363,11.861499
492,22.779043280182236,7,64,64,256,4,4,2,2.9,0.000439,81.661,11.95657
493,30.674846625766868,5,32,128,256,4,4,2,2.9,0.000326,60.338,8.757009
494,22.779043280182236,7,128,64,512,4,4,2,2.7,0.000439,85.375,12.311373
495,24.449877750611247,6,64,32,256,4,4,2,3.1,0.000409,69.598,10.18921
496,24.449877750611247,6,16,16,512,4,4,2,3.1,0.000409,69.56,10.063469
497,24.449877750611247,6,32,128,256,4,4,4,2.9,0.000409,72.372,10.446712
498,24.449877750611247,6,16,32,256,8,4,2,2.8,0.000409,79.39,10.380593
499,22.779043280182236,7,64,32,512,4,4,4,3.0,0.000439,83.02,11.949457
500,22.779043280182236,7,32,32,256,4,4,4,2.9,0.000439,80.35,11.73848
501,22.779043280182236,7,8,16,512,4,4,4,3.1,0.000439,80.887,11.683533
502,24.449877750611247,6,64,64,256,8,4,2,3.1,0.000409,81.368,10.623064
503,24.449877750611247,6,16,32,512,4,4,4,3.2,0.000409,70.816,10.144771
504,22.779043280182236,7,64,32,256,8,4,2,3.0,0.000439,93.416,12.194952
505,24.449877750611247,6,32,64,512,4,4,2,3.1,0.000409,71.194,10.273955
506,22.779043280182236,7,16,32,512,4,4,4,3.0,0.000439,81.67,11.773878
507,22.779043280182236,7,16,32,512,4,4,2,3.0,0.000439,80.818,11.735867
508,31.54574132492113,8,16,32,256,4,4,2,2.9,0.000317,90.156,13.303722
509,24.449877750611247,6,32,128,256,4,4,2,2.9,0.000409,71.748,10.421304
510,22.779043280182236,7,16,64,256,4,2,2,2.9,0.000439,79.038,11.755433
511,24.449877750611247,6,32,64,256,4,4,2,3.0,0.000409,69.677,10.194903
512,22.779043280182236,7,32,64,512,4,4,2,2.9,0.000439,82.257,11.921452
513,31.54574132492113,8,64,64,128,4,4,2,2.9,0.000317,92.102,13.603195
514,22.779043280182236,7,64,64,512,4,4,4,3.1,0.000439,84.034,12.065585
515,22.779043280182236,7,32,32,256,4,4,2,3.1,0.000439,79.726,11.698765
516,22.779043280182236,7,32,32,256,4,4,2,3.1,0.000439,79.726,11.698765
517,22.779043280182236,7,64,64,256,4,4,2,3.0,0.000439,81.661,11.949333
518,22.779043280182236,7,64,32,512,4,4,2,3.1,0.000439,82.16,11.906975
519,22.779043280182236,7,64,32,256,4,4,2,3.0,0.000439,80.647,11.825669
520,22.779043280182236,7,32,64,128,4,4,4,2.9,0.000439,80.288,11.8028
521,31.54574132492113,8,64,32,128,4,4,4,2.9,0.000317,91.244,13.483067
522,22.779043280182236,7,16,32,256,4,4,4,2.9,0.000439,79.925,11.682506
