,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
402,58.47953216374268,1,64,128,64,4,4,2,3.0,0.000171,13.483,1.909387
403,59.1715976331361,1,32,16,64,4,4,4,2.9,0.000169,13.194,1.843751
404,44.247787610619476,6,64,16,512,2,4,4,3.0,0.000226,70.367,10.241015
405,30.030030030030026,9,32,8,2048,4,4,4,2.9,0.000333,113.7,15.672941
406,37.17472118959108,7,128,8,128,4,4,4,3.1,0.000269,81.574,11.922903
407,58.47953216374268,1,32,16,64,4,4,4,3.0,0.000171,13.194,1.8394629999999998
408,59.1715976331361,1,32,8,64,2,4,4,2.8,0.000169,12.955,1.833248
409,44.247787610619476,6,64,16,512,4,4,4,3.0,0.000226,71.57,10.256987
410,77.51937984496125,2,32,64,2048,4,4,4,3.0,0.000129,38.614,4.349225000000001
411,59.1715976331361,1,64,64,1024,2,4,4,2.8,0.000169,22.452,2.342109
412,67.11409395973155,3,64,32,64,4,4,4,3.1,0.000149,35.545,5.1530000000000005
413,58.47953216374268,1,64,8,256,2,4,2,3.0,0.000171,13.973,1.909398
414,51.282051282051285,5,64,16,1024,4,4,4,3.1,0.000195,66.334,8.890578000000001
415,59.1715976331361,1,128,4,2048,4,4,4,2.8,0.000169,27.7,2.745613
416,44.247787610619476,6,32,16,64,4,4,4,2.8,0.000226,67.524,9.989158
417,77.51937984496125,2,64,8,256,4,4,4,2.9,0.000129,25.751,3.58332
418,58.47953216374268,1,64,8,64,4,4,8,3.1,0.000171,13.582,1.8853399999999998
419,59.1715976331361,1,32,64,64,4,4,4,2.8,0.000169,13.406,1.8756480000000002
420,58.47953216374268,1,32,16,256,4,4,4,3.1,0.000171,14.706,1.924196
421,67.11409395973155,3,64,8,64,4,4,4,3.0,0.000149,35.193,5.11681
422,44.247787610619476,6,64,32,1024,2,4,4,2.9,0.000226,76.664,10.578912
